prompt,completion
select avg(total_price) from pizza where pizza_name_id in ( 'mexicana_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 9 and 29  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_supr_l' ) and pizza_size in ( 'L' ) and    unit_price between 20 and 31  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 34  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'mediterraneo_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 14 and 20  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_size in ( 'L' ) and    unit_price between 17 and 22  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'green_garden_l' ) and    unit_price between 14 and 24  ,20.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'cali_ckn_m' ) and    unit_price between 14 and 18  ,17.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'the_greek_xl' ) and    unit_price between 22 and 30  ,25.0
select avg(total_price) from pizza where pizza_name_id in ( 'veggie_veg_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 14 and 20  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_cpcllo_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 15 and 27  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 20 and 26  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spicy_ital_m' ) and pizza_size in ( 'M' ) and    unit_price between 11 and 27  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'mexicana_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 17 and 28  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spicy_ital_l' ) and pizza_size in ( 'L' ) and    unit_price between 20 and 31  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_xl' ) and pizza_size in ( 'XL' ) and    unit_price between 12 and 32  ,25.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'the_greek_m' ) and    unit_price between 10 and 21  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_l' ) and pizza_category in ( 'Classic' ) and    unit_price between 14 and 25  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'pepperoni_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_supr_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 21  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'five_cheese_l' ) and pizza_size in ( 'L' ) and    unit_price between 11 and 34  ,19.0
select avg(total_price) from pizza where pizza_name_id in ( 'five_cheese_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 15 and 27  ,19.0
select avg(total_price) from pizza where pizza_name_id in ( 'cali_ckn_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_s' ) and pizza_category in ( 'Chicken' ) and    unit_price between 9 and 29  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_cpcllo_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'ckn_alfredo_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 33  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'S' ) and    unit_price between 12 and 23  ,12.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'brie_carre_s' ) and    unit_price between 23 and 34  ,24.0
select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_l' ) and pizza_size in ( 'L' ) and    unit_price between 11 and 27  ,21.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_size in ( 'M' ) and    unit_price between 15 and 33  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'spicy_ital_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 33  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 14 and 23  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'ital_supr_s' ) and    unit_price between 11 and 16  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_m' ) and pizza_size in ( 'M' ) and    unit_price between 11 and 27  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'L' ) and    unit_price between 15 and 32  ,18.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 14 and 20  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'ckn_alfredo_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 26  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,17.0
select avg(total_price) from pizza where pizza_name_id in ( 'calabrese_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 15 and 26  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 31  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 9 and 29  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Chicken' ) and pizza_name_id in ( 'cali_ckn_l' ) and    unit_price between 14 and 24  ,21.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'pep_msh_pep_s' ) and    unit_price between 10 and 21  ,11.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'the_greek_s' ) and    unit_price between 11 and 12  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 28  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'ckn_pesto_l' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 25  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 26  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_s' ) and pizza_category in ( 'Veggie' ) and    unit_price between 9 and 29  ,12.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_size in ( 'L' ) and    unit_price between 15 and 33  ,21.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'ital_veggie_l' ) and    unit_price between 19 and 24  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'spicy_ital_l' ) and pizza_size in ( 'L' ) and    unit_price between 18 and 23  ,21.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'napolitana_m' ) and    unit_price between 10 and 21  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'mediterraneo_l' ) and    unit_price between 19 and 24  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 14 and 23  ,21.0
select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'pep_msh_pep_l' ) and    unit_price between 16 and 31  ,17.0
select avg(total_price) from pizza where pizza_name_id in ( 'southw_ckn_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 21  ,17.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_xl' ) and pizza_size in ( 'XL' ) and    unit_price between 14 and 32  ,25.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'napolitana_m' ) and    unit_price between 13 and 21  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'mexicana_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 26  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'the_greek_l' ) and pizza_size in ( 'L' ) and    unit_price between 17 and 31  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,16.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'pep_msh_pep_m' ) and    unit_price between 14 and 18  ,14.0
select avg(total_price) from pizza where pizza_name_id in ( 'thai_ckn_m' ) and pizza_category in ( 'Chicken' ) and    unit_price between 14 and 23  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'veggie_veg_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 15 and 26  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'pep_msh_pep_m' ) and    unit_price between 9 and 16  ,14.0
select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'spinach_supr_l' ) and    unit_price between 10 and 21  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_fet_l' ) and pizza_size in ( 'L' ) and    unit_price between 11 and 27  ,20.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'mexicana_s' ) and    unit_price between 12 and 13  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'four_cheese_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 9 and 29  ,18.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'green_garden_s' ) and    unit_price between 11 and 12  ,12.0
select avg(total_price) from pizza where pizza_size in ( 'S' ) and pizza_name_id in ( 'cali_ckn_s' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'five_cheese_l' ) and    unit_price between 17 and 30  ,19.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_supr_m' ) and pizza_size in ( 'M' ) and    unit_price between 11 and 27  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'soppressata_l' ) and    unit_price between 19 and 29  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_m' ) and pizza_size in ( 'M' ) and    unit_price between 16 and 33  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'mediterraneo_m' ) and pizza_category in ( 'Veggie' ) and    unit_price between 14 and 25  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'ital_supr_l' ) and    unit_price between 19 and 29  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'prsc_argla_m' ) and pizza_category in ( 'Supreme' ) and    unit_price between 16 and 23  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'mexicana_s' ) and pizza_category in ( 'Veggie' ) and    unit_price between 9 and 29  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_cpcllo_l' ) and pizza_size in ( 'L' ) and    unit_price between 20 and 31  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Classic' ) and pizza_name_id in ( 'ital_cpcllo_l' ) and    unit_price between 20 and 29  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'cali_ckn_l' ) and pizza_size in ( 'L' ) and    unit_price between 10 and 21  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'spinach_supr_s' ) and pizza_size in ( 'S' ) and    unit_price between 11 and 34  ,12.0
select avg(total_price) from pizza where pizza_category in ( 'Veggie' ) and pizza_name_id in ( 'spin_pesto_l' ) and    unit_price between 20 and 29  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'mexicana_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 35  ,20.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'ital_veggie_m' ) and    unit_price between 10 and 21  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'hawaiian_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,10.0
select avg(total_price) from pizza where pizza_size in ( 'L' ) and pizza_name_id in ( 'hawaiian_l' ) and    unit_price between 14 and 18  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 24  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'spin_pesto_l' ) and pizza_category in ( 'Veggie' ) and    unit_price between 20 and 28  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'calabrese_m' ) and pizza_size in ( 'M' ) and    unit_price between 10 and 18  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'sicilian_l' ) and pizza_size in ( 'L' ) and    unit_price between 20 and 31  ,20.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'prsc_argla_l' ) and    unit_price between 19 and 29  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_l' ) and pizza_size in ( 'L' ) and    unit_price between 17 and 31  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'ital_supr_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'napolitana_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 21  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'veggie_veg_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 33  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'green_garden_l' ) and pizza_size in ( 'L' ) and    unit_price between 16 and 33  ,20.0
select avg(total_price) from pizza where pizza_size in ( 'M' ) and pizza_name_id in ( 'ital_veggie_m' ) and    unit_price between 14 and 18  ,16.0
select avg(total_price) from pizza where pizza_category in ( 'Supreme' ) and pizza_name_id in ( 'sicilian_m' ) and    unit_price between 14 and 24  ,16.0
select avg(total_price) from pizza where pizza_name_id in ( 'peppr_salami_l' ) and pizza_category in ( 'Supreme' ) and    unit_price between 20 and 26  ,21.0
select avg(total_price) from pizza where pizza_name_id in ( 'big_meat_s' ) and pizza_size in ( 'S' ) and    unit_price between 10 and 26  ,12.0
select avg(total_price) from pizza where pizza_name_id in ( 'ckn_alfredo_l' ) and pizza_size in ( 'L' ) and    unit_price between 17 and 31  ,20.0
select avg(total_price) from pizza where pizza_name_id in ( 'four_cheese_l' ) and pizza_size in ( 'L' ) and    unit_price between 12 and 32  ,18.0
